PartId,PartNumber,Type,Code
50595,0481820,2,KTHD
27546,TS736006,1,KTIF
1209206611270427378,CU1408ZM,1,KTIF
44672,KUL08012,0,KUL
25696,TT712106,1,RES
21577,98EF0275,0,RES
68501,TU586513,1,KTIF
20076,530632,0,RÖRI
884774379919069135,X0471453705A,1,KTHD
845488113197640339,GW152520,1,GWA
1286691661673147517,X832120,1,GWA
1091570793870129145,#REF_2047,0,REF
37139,0331342,2,KTIF
25386,TT2075,1,KTA
24510,TB7124,1,RES
994262991445987891,X0381100400-1,1,KTIF
48197,98JD0047,1,KTIS
22474,98ET3610,1,RES
76863,98X620032-2,1,RÖRI
19822,98360110,1,RES
51017,X0471110155-1,1,KTHD
37164,0351362,2,KTIA
71078,XTT5955,1,KTIF
36507,98800010,2,ÖVR
1287764294115119790,X135915-2,0,REM
4413,0220021675,2,KE
70222,0760600405,1,BTI
22009,EH197502,0,BEARB
21650,EF104102,1,RES
50677,98JS008512,1,KTIS
21411,98D0040,1,DOB
18120,980372820755,1,KTIF
24059,Q0203,1,RES
24802,98TD7640,0,RES
1092965854284009711,#REF_2062,0,REF
31610,093623-01,2,KTHD
36521,98800042,2,ÖVR
23128,KT120202,1,RES
72458,XCD1708,1,KTHD
12710,0351840006,2,KTIA
23356,NR0920,1,RES
24417,TB254502,1,RES
1208439988536851545,334055ZM,1,KTIF
53497,140230H,1,SEHD
48132,98JT0030,1,RES
936818500391676572,XTT7484,1,KTHD
1002103521364642570,XTD565001,1,KTHD
18045,0371941100,1,KTIA
31678,9809123202-01,2,SEHD
20216,616440,1,RÖR
1167269259447779216,GW4003,1,GWA
1235880952417490840,D3490,1,DOBH
72185,98130016,1,SEHD
883695925499787879,460177,1,KTHD
75984,XEH2892,1,SEHD
41144,EH346810,1,RES
25629,98TT6250,1,RES
53870,98JD007614,1,KTIS
1167958043431146911,DEK4043,0,GC
63383,TD541615,1,KTIF
53639,334332,1,KTIA
41370,98EH229810,0,RES
847747054533631584,862390,1,GWA
23403,98OBP1290,1,RES
74392,EH2928,1,SEHD
1016581875717593052,EF1995,1,SEI
36419,EP0542,1,RES
1237371344736638553,460030V-02,1,KTHD
56117,0471210550A,1,KTHD
36683,EH3864,1,RES
19534,98334002-00,1,KTHD
20594,921110,0,MOTOR
1216919757559613711,TS725502ZM,1,KTHD
1113742608923470162,X0151551105-1,1,SEHD
52975,415036,1,SLASK
1226945071657856580,CU7956ZM,1,KTHD
6028,0303740405,1,KTF
40762,ZMA0362PL,0,INST
73598,145935,0,REM
39848,903196,0,ELEKTR
63664,EK2042,1,SEI
70650,0760400305AA,1,BTI
50380,X1799190,0,REM
50439,98X351376,1,KTHD
19857,98361014,1,RES
58784,GB3099,1,SLASK
52633,X0371940155,1,KTIA
879278663982888085,873400,1,GWA
76096,XTD5513-2,1,KTHD
933012621194934031,XJD032414,1,KTIS
28358,98CT5510,1,KTHD
830596402175928592,475152,1,KTHD
72645,EH3736,1,SEHD
58724,TS8660,1,KTHD
31816,980160522005-01,1,SEHD
63312,BRF173030,1,RES
74646,98X014050405ATS,1,SEHD
51446,XTS714406,1,KTIF
40051,TU782710,1,RES
56725,TT5360,1,KTHD
23103,KT075002,1,KE
1136029969720035889,CS7324ZM,1,KTHD
50991,D3366,1,DOB
76198,TI2168,1,KTA
74077,ET2774,1,SEHD
56567,TT7352,1,KTHD
32362,980471100150,1,KTHD
899285711257452956,X0151553000,1,SEHD
52309,98XEH331509,1,RES
18819,156403,1,SEI
36295,98CU6572,1,RES
41018,98XTD5494,1,KTIA
947201814215165708,045321,1,KTHA
55797,SF1260V,0,RES
38566,9430062119,0,NORD
36289,CU4210,1,RES
1161971278353337041,IP0302,1,ITT
76491,XTD5703-2,1,KTIF
74003,XTI2151,1,KTA
37079,0331314,2,KTIF
22698,KED011161,0,KINA
6157,0304930305,1,KTF
24539,TB8120,1,RES
19325,983072000500,1,KTA
845496440064337131,841110,1,GWA
845496442211817713,833305,1,GWA
72075,0471262205A,1,KTHD
74474,CU0630,1,KTHD
58872,TD7656,1,KTHD
31932,98198440-00,1,SEHD
66981,0381291100,1,KTIF
39950,GF30330,1,RES
21778,EF3704,1,RES
42079,ZAA000RU,0,INST
74786,XCD1718,1,KTHD
48015,98TD297010,1,KTF
21314,98CT3420,1,KTHD
41951,TU886510,1,RES
71433,X0471300550-4,1,KTHD
1133078965108617899,EH5180ZM,1,SEHD
1142358069348238446,844804,1,GWA
22039,98EH2315,1,RES
67937,1897178,0,REM
72832,XEF3643,1,SEHD
71250,LU3003,1,BTI
27228,98010320-00,1,SE
63502,XEH5841,1,SEHD
886700223774197190,530101D,1,RÖR
1229168051243156139,CS2039ZM,1,KTHD
845496442211818285,842030,1,GWA
17887,0371720920,1,KTIA
866648380391822167,GW210215,1,GWA
51688,98JS008713,1,KTIS
63360,EP315715,1,SEHD
50853,TG2648,1,KTA
67899,1741921,1,SE
37347,0471160400,1,KTHD
48480,98360187V-03,1,KTIA
74121,ET3746,1,SEHD
24572,TD207302,1,RES
19817,98360054,1,KTIF
25722,98TT7306,1,RES
73110,X0475211850,1,KTHD
70528,LD3010,0,BEARB
48494,335430,1,KTIA
23577,98OF20224,1,RES
1209521377623978739,CD1220ZM,1,KTHD
879278661835401412,872270,1,GWA
55954,XEK3005,1,SEHD
845496441138076119,833060,1,GWA
69900,017500,1,SEHD
1146492260156815603,X0471210225-2,1,KTHD
41025,XEH0280,1,RES
50673,98JS007512,1,KTIS
38855,199322-00,1,SEHD
37124,980140518505A-00,1,SEHD
71209,XCS4074,1,KTHD
39281,EF5219,1,SEHD
843645873124335359,ZMA0642SK,0,INST
72044,X156362,1,SE
1096705459750759284,GW238770,1,GWA
76439,0471160220A,1,KTHD
69562,XGB4275,1,SLASK
63876,ZMA04551PL,0,INST
847747053459889355,861215,1,GWA
54051,CU4037,1,KTHD
20058,530041,0,KINA
41061,GF20890,1,RES
5819,0302760400,1,KTF
21645,EF0878,1,RES
52360,98XJS001013,1,KTIS
28270,CT2040,1,KTHD
40723,ZMA03611PL,0,INST
68617,X0471261500-5,1,KTHD
40604,ZMA0302HU,0,INST
69981,LS0316,1,BTI
21767,EF3227,1,RES
24073,98Q2120,1,RES
37020,9405532061,0,NORD
22379,ES5310,1,RES
815456666201585775,803911,0,ÖVRIGT
36089,98CU4120,1,KTHD
51750,X0305730110,1,KTF
18977,98198080-00,1,SE
56305,CB4020,1,KTHD
40716,ZMA03611DK,0,INST
39271,EF5160,1,SEHD
69750,EH191317,1,SEI
845496442211817527,833140,1,GWA
75609,ZTMA145605,0,INST
1136087278534242622,EH1780PU,0,PLAST
1252935186850161453,0499077,2,ITT
63869,ZMA04551DK,0,INST
38608,X191160,1,SE
986178447584910463,116305,1,SEI
4339,0220011600,2,KE
845496440064337077,841035,1,GWA
76772,XCD1340-2,1,KTHD
995845710416257642,XCD431601,0,BEARB
66989,98036169-00,1,KTIF
76800,X0141050405,1,SEHD
41937,TU881710,1,RES
70736,0730275,2,BTI
68654,XTD5680,1,KTHD
845488113197641081,GW207140,1,GWA
24248,RRR425405,0,JÄRN
59412,113202,1,SEI
1128715121650816737,#INSTR_3014,0,INSTR
21829,EH0353,1,RES
925590647206355878,PVR070,0,ÖVRIGT
20203,616350,1,RÖR
50578,0461014,2,KTHD
44796,TU881011,1,RES
67689,9604092672153,0,NORD
31821,980160545000-01,1,SEHD
5834,0302930225,1,KTF
24464,98TB5116,1,RES
26505,98ÖÖSTEG8,0,RES
38996,480266H-04,1,KTHD
873991728936156935,CU061201,1,KTHD
879278663982888247,873250,1,GWA
822856057182277690,EH5722,1,SEHD
71951,XEH3212,1,SEHD
1013577745973557541,0120803000,1,SEI
19844,98360442,1,RES
26168,TU7012,1,RES
74730,EK1690,1,SEHD
74580,XOC3350,1,RÖR
39985,GF16210,1,RES
22833,98KF1065,1,RES
50730,98X470652,1,KTHD
75776,X09135000LG,2,SEHD
1086260987756960031,#REF_1026,0,REF
76125,TI2002,1,KTA
981266678478926930,ÖFJÄD136,0,BULT
28365,98CT5546,1,KTHD
38816,0170505505,1,SEHD
41983,GF20850,1,RES
59162,98045721-00,1,KTHA
1125706350213715684,RFPET1895,0,PLÅT
71753,98X0140407505,1,SEHD
1096705459750759236,GW237740,1,GWA
36254,TD535706,1,KTIF
69226,LS0004,1,BTI
32370,980471100550,1,KTHD
74725,EK1665,1,SEHD
886700224847939291,GF1924,1,RÖR
50375,XRGP306,0,PLÅT
55525,98SF20200V,0,RES
51269,9603052015,0,NORD
1083699416781896531,XTT5952,1,KTIA
70609,0760800550A,1,BTI
50514,TI5426,1,KTIA
68545,X172185,1,SE
71669,474023-01,1,KTHD
36613,9809901,1,SE
70117,045535,1,KTHA
5103,0300940750,1,KTF
56847,ZMA0301RO,0,INST
40375,98ZZMA0305SK,2,ÖVR
18790,98140210-01,1,SE
69318,0120705505F,1,SEI
25079,TI2729,1,RES
69354,0127704000A,1,SEI
19611,98343500-00,1,RES
23698,98OF253030,1,RES
52450,CG4955,1,KTHD
69769,036152-6,1,KTIF
845496440064337025,841025,1,GWA
55723,GB3323,1,SLASK
845488116418864923,GW318550,1,GWA
25137,98TM2320,1,RES
58652,TB8394,1,KTHD
845496440064337009,831330,1,GWA
68838,OD0022,1,RÖRI
25489,98TT5275,1,RES
74823,91935013,0,GBA
73295,OC322001,1,RÖR
39069,0471551855,1,KTHD
51277,GB3067,1,SLASK
5516,980301940555,1,KTF
37142,0351343,2,KTIF
73045,CT0120,1,KTIF
36466,98021003,1,KE
53487,980160530005,1,SEHD
73276,EH2376,1,SEHD
31594,9604052026,0,NORD
25845,CF4080,1,KTHD
75714,X0141050225LG,1,SEHD
4034,980210011375,2,KE
71257,LU4002,1,BTI
21937,EH1280,0,BEARB
30339,98330147V,1,RES
22165,98EK0188,1,RES
1130463829188697986,XTD5275,0,BEARB
63769,364036,1,KTIF
74172,CD1001,1,KTHD
926407221758749946,XGF3015,1,RÖRI
886700225921681241,GF2430,1,RÖR
39740,PBOX140,0,ÖVRIGT
68746,XEH244612,1,SEHD
18829,156475,1,SEI
40343,98ZZMA0303GB,2,ÖVR
24699,98TD5418,1,RES
41952,TU889510,0,BEARB
50657,98JD011812,1,KTIS
24239,RPJ508,0,JÄRN
20878,9703022064,0,NORD
1209206610196691220,TD570215ZM,1,KTIF
74123,ET3756,1,SEHD
4449,0220030800,2,KE
25092,TI2845,1,KTA
40158,RPJ4012,0,JÄRN
36152,EK3111,1,RES
1216995215861179533,ET2816,1,SEI
19098,232200,1,KE
75600,ZMA015RU,0,INST
39010,98480748,1,KTHD
883693359257208590,XCU5090,1,RES
5525,980301960400,1,KTF
71249,LU3002,1,BTI
69281,X351341,1,KTIF
22548,98ET5576,1,RES
1143872808835981055,CT6868ZM,1,KTIF
22502,98ET4527,1,RES
72078,450061HA-02,1,KTHD
4460,0220031075,2,KE
50262,TB5233,1,KTIA
1174667265889669228,CD5401,1,KTHD
23876,OÖ1610,1,RES
52460,CS1155,1,KTHD
23341,MFV6,0,BULT
70749,022001,1,KE
5509,980301940220,1,KTF
31793,K16160810,0,KINA
51041,98X330163V,1,KTHD
24258,RSP202,0,PLÅT
55767,0471500925N,1,KTHD
40671,ZMA03517PL,0,INST
4123,980210021825,2,KE
38676,98903116,0,RES
51456,CU3124,1,KTHD
56146,X0381270550-2,1,KTIF
22739,KED45244,0,KINA
10637,0351306,2,KTIF
22592,F0500,1,KE
76794,98X520096-02,1,RÖRI
73267,EH1390,1,SEHD
1097786872722842128,#REF_2193,0,REF
31723,98ÖÖV65,0,BULT
70202,0760400155,1,BTI
38266,98TU523209,1,KTHD
1142300679972532681,CU4942ZM,1,KTHD
52641,GB3359,1,SLASK
51077,TS7240,1,KTIF
55473,CB5037,1,KTHD
52097,X0305930155,1,KTF
1252935185776419978,0498035,2,ITT
63646,198492,2,SEHD
76016,X303995-9,1,KTF
74114,ET2757,1,SEHD
27646,ET451406,1,RES
53911,JD026814,1,KTIA
76711,XGF2515,1,RES
4677,0260055150,2,KE
54129,0474351505,1,KTHD
1252935182555199251,0491035,2,ITT
31875,98CF5170,1,KTHD
24466,TB5122,1,RES
24899,TG510506,1,KTIF
20239,620001,1,RÖR
68392,CT552616,1,KTHD
1167268931956198526,919350131,0,GWA
1130458125471797893,X450140-4,1,KTHD
63631,XEV022,0,SEI
76287,X470176VA-20,1,KTHD
77070,X96900103026,0,NORD
52223,9407552047,0,NORD
866648361064471176,GW207155,1,GWA
1129049562939472111,CT5814,1,KTHD
879278662909143071,872430,1,GWA
25610,98TT6020,1,KTIF
860308224952175019,ZMA0643SE,0,INST
67940,X410265H,1,SLASK
39728,SF1660,0,BULT
1064453513366286965,X0475351850,1,KTHD
1195422496390382586,145575,1,SEHD
36959,TU811302,1,KTIF
1168316444460475806,0471414V,2,KTHD
68399,CT556016,1,KTHD
24026,PSKT45,0,PLAST
1013577747047299105,0131809200,1,SEI
69657,XGB4124,1,SLASK
998011531337234006,X960020102261,0,NORD
69443,98030540-02,1,KTA
68630,X0475261855-5,1,KTHD
1266619312630017169,CU7928ZM,1,KTHD
866648321336041830,GW202045,1,GWA
73095,464045,1,KTHD
74086,ET1718,1,SEHD
1053319373946020017,X330034-2V,1,KTIF
48282,X0371941100,1,KTIA
1219881877952547056,CU411909ZM,1,KTHD
63663,EK2038,1,SEHD
25950,98TU2055,1,RES
40100,98X110010,1,SE
26287,98TU8160,1,KTIF
4180,980210031475,2,KE
54141,0475300755,1,KTHD
1095536408186862257,X960309022056,0,NORD
63345,EP054015,1,SEI
38394,98093316-01,2,KTIA
845496440064337815,841220,1,GWA
38802,0170501105,1,SEHD
41071,166136,0,REM
52954,410280H-ES,1,SLASK
38551,98X0471080115,1,KTHD
1010992022283341262,DEK4042,0,GC
40136,EH5452,1,SEHD
53921,98JT008014,1,RES
24358,SSBT1220,0,BULT
69368,XCD1562,0,BEARB
31801,09120022,2,SEI
23986,PMKT11240,1,KTIF
975718603299514227,TU573213,1,KTHD
1237366731941318337,450050VA-03,1,KTHD
53203,98032072,1,SLASK
44548,98XCT4220,1,KTHD
51701,98JS014613,1,KTIS
25743,98TT7471,1,RES
22173,EK035002,1,RES
1019826586373713277,ER1124,1,SEI
38245,98363546-01,1,KTHD
1220323689389902173,X0471403000ZM,1,KTHD
58738,980150422000A,1,SEHD
6876,980308960220,1,KTIA
19135,261502,1,KE
73535,0163051500,1,SEHD
59160,98045711-00,1,KTHA
59222,0455620451,2,KTHD
71519,X0471301850A,1,KTHD
69125,OD2548,1,RÖRI
50676,98JS008212,1,KTIS
20772,9611042096,0,NORD
6503,980306940155,1,KTA
24958,TG712006,1,KTIF
74168,0300940300F,1,KTF
63515,XCU5922,1,KTHD
20328,98625310-00,1,RÖR
23995,98PMKTIF10,0,KTIF
23983,PMEDKTFY,0,KINA
1289635197853970249,CT8733,1,KTIF
24322,SFI1031,0,BULT
24038,98PSP251,0,RES
63527,EK1750,1,KTHD
829504793192345861,XCI7456,1,KTHD
42026,XTI2682,1,KTF
72547,CT2710,1,RES
36572,98EP0100,1,RES
24841,98TG260002,1,RES
72666,EH3772,1,SEHD
25000,98TI222502,1,KTF
22226,98EK092002,1,RES
69013,XCS1382,1,KTHD
73091,464041,1,KTHD
877331655494162257,RFP616,0,PLÅT
36652,X178217,0,REM
1096705460824500740,GW324730,1,GWA
71053,0760400555AA,1,BTI
6067,0303960150,1,KTF
59115,98TU5610,1,KTHD
1133078964034876014,EH5503ZM,1,SEHD
62990,0365670,2,KTIF
1146126573722450031,X461920V,1,KTHD
37114,98900012-00,1,RES
23891,98OÖ4102,1,RES
69639,X415123-T4,1,SLASK
77055,X530101-1,1,RÖRI
51054,98X351352,1,KTHD
36442,9602242016,0,NORD
44626,CS1460,1,KTHD
866648663859692388,GW309285,1,GWA
843645873124335235,ZMA0641SK,0,INST
52710,GB3946,1,SLASK
73278,EH2380,1,SEHD
76790,X0471300300-1,1,KTHD
56568,TT7354,1,KTHD
50250,TB5214,1,KTIA
887378071549596956,GF1566,1,RÖR
992771360223681417,ES231002,1,RES
879278663982888195,873230,1,GWA
76909,X900125,1,MOTOR
39324,EH5645,0,BEARB
23479,OF160070,1,RES
28302,CT4022,1,KTHD
845496440064337831,841260,1,GWA
76757,XCD1400,1,KTHD
69670,XGB4152,0,BEARB
958998720949608269,XLI2005,1,BTI
22629,K08101011B,0,KINA
1128258860115249849,EF5218ZM,1,SEHD
1128258861188990289,ET7520ZM,1,SEHD
25857,TT8538,1,KTIA
1224046318891138322,X0471161105,1,KTHD
951195199906725270,K3100048,0,GCODA
31671,120191V,1,SEHD
62806,TI8810,1,KTIA
25091,TI2830,1,KTA
1110850061369172735,842001,1,GWA
900055696968284451,KM9340610050,0,GCODA
41343,98X330031,1,KTIF
75721,91933820,0,ELEKTR
822062467498324329,CT7280,1,KTHD
50346,98KEDA081004-01,0,KTIA
1011346206715220105,X0471210555-1,1,KTHD
20008,98520095-00,1,RÖRI
947193408965332559,036277,1,KTIF
70954,LI4004,1,BTI
4409,0220021575,2,KE
67719,0376200220A,1,KTIS
58581,X412300V,1,SLASK
21870,98EH0570,1,RES
68230,98GF01112,1,RES
1130820428484873425,CS4332ZM,1,KTHD
52876,98331705-00,1,KTIS
1174941046451559646,X0381120750,1,KTIF
24993,TG866006,1,KTIF
4496,0220031975,2,KE
1133033182915941382,XCT4380,0,BEARB
1099626757317796180,X360035V-3,1,KTIF
23107,KT082202,1,KE
50352,EÖ2515140,0,EMB
36840,X0381271855,1,KTIF
1252935185776420823,0497860,2,ITT
54073,803672,1,EMB
50448,98XTI8045,1,KTHD
21662,98EF1210,1,RES
24403,TB237702,1,RES
74864,X0381270920-4,1,KTIF
1209206611270434362,CU047101ZM,1,KTIF
55763,9409262024,0,NORD
52948,410160H-ES,1,SLASK
75796,X431322LG,1,KTHD
75734,XCT1356LG,1,KTHD
845488115345122682,GW308255,1,GWA
68909,03000332,2,ÖVR
40219,0120705500N,1,SEI
51890,9609242122,0,NORD
1151675838326640227,XCD2226,1,KTHD
50687,98JS012012,1,KTIS
72989,CU4488,1,KTIF
38414,0127702200S,1,SEI
52453,CG4975,1,KTHD
73523,0151553700,1,SEHD
1099341592944476801,X9601592172148,0,NORD
71009,LS2102,1,BTI
1287114087626418061,CU5950ZM,1,KTHD
75887,X461020LG,1,KTHD
69490,98XLU3004,1,RES
51328,OÖ416111,1,RÖR
51496,GB4033,1,SLASK
1280029776713460516,CT8764,1,KTF
847747055607369740,863520,1,GWA
20907,9704032056,0,NORD
41419,CT2550,1,KTHD
76742,XGF2018,1,RES
58715,TS7658,1,KTHD
1246296668937334035,X530101-2,1,RÖRI
20680,9603032037,0,NORD
23755,98OF30220,1,RES
27544,TS734406,1,KTIF
48156,TI7405,1,KTIA
1144148090484218162,XEH5522,0,SEHD
71464,TD222218,1,KTIF
59424,133200,1,SEHD
21763,EF3223,1,RES
32437,0471300750,1,KTHD
1082595827539529098,136337,1,SEI
63367,9615072026,0,NORD
36610,989699700110,0,KTA
75664,334094-02,1,KTHD
40998,TS7542,1,KTIA
25861,TT8546,1,KTIA
40644,ZMA0305NO,0,INST
25917,TU0440,1,RES
69962,LS0014,1,BTI
68236,GB4309,1,SLASK
1038394397475969526,X0471420V,2,KTHD
847747055607369776,863540,1,GWA
902298272922186543,X0471406-224,2,KTHD
986178449732394615,136577,1,SEI
71407,EH1904,1,SEI
40590,ZMA0301GB,0,INST
1136087278534242592,EH1382PU,0,PLAST
76077,XCG4710-20,1,KTHD
53848,JD001514,1,KTIA
53875,JD008714,1,KTIA
58953,TG8572,1,KTHD
866593390871824384,98828011-00,1,GBA
3974,980131722000-00,1,SEI
63283,ET2850,1,SEI
73466,0141050925A,1,SEHD
74491,903063520,0,ELEKTR
55552,ZMA03561ES,0,INST
52686,EF1785,1,SEI
982489419891449577,XCD1112,1,KTHD
19978,400510-00,1,DOB
1219877528223075408,464045ZM,1,KTHD
1252935184702681372,0495270,2,ITT
39961,GF30354,1,RES
830599739364966466,CI6012,1,KTHD
30343,98340084V,1,RES
5809,0302740405,1,KTF
20774,9611042158,0,NORD
23565,OF202066,1,RES
1136029968646294426,CS1393ZM,1,KTHD
52664,D237413,1,DOB
5050,980300740223,1,KTF
74881,XLI4021,1,BTI
53577,461610,1,KTHD
69107,OD1852,1,RÖRI
72320,9601592372202,0,NORD
26011,TU5015,1,RES
70856,PSKIV520,0,PLAST
56446,98903063580,0,RES
76893,XTD851006,1,KTIF
50758,XEF0100,1,RES
6063,0303940550,1,KTF
1129049559718244484,485242,1,KTHD
76845,X961104211660,0,NORD
52766,98XJS004413,1,KTIS
71399,XCD5224,1,KTHD
38098,98CT184009,1,KTHD
24259,RSP250,0,PLÅT
72893,CU0450,1,KTIF
76572,X167730,0,REM
50771,98X0371960750-1,1,KTHD
1195437508373830645,150075,2,SEHD
69096,OD1820,1,RÖRI
48108,98JS0042,1,KTIS
11909,0351740114,2,KTIA
25913,TU0420,1,RES
995355293933868140,X0471350750-3,1,KTHD
72158,X0120702200M,1,SEI
31674,120211H,1,SEHD
21196,CS1331,1,KTHD
70306,720010H,1,BTI
866988954122621749,91935052,0,GBA
50908,X0371780405-2,1,KTIA
52522,9409242122,0,NORD
53948,JT004614,1,KTIA
53512,98EH331713,1,SEHD
56585,XGF01044,1,RÖR
53581,464062-01,1,KTHD
1232594936740669820,IP0532,1,ITT
25520,TT5440,1,KTIF
21734,EF2550,1,RES
51758,980381120220FT,1,KTIF
